apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,time,uvIndex,visibility,windBearing,windGust,windSpeed
33.21,0.75,28.41,0.69,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,37.76,1420293600,0.0,6.216,330.0,,5.82
35.96,0.44,27.17,0.7,partly-cloudy-day,,,0.0,0.0,,1029.91,Partly Cloudy,35.96,1420297200,0.0,6.216,230.0,,2.24
29.28,,28.41,0.85,clear-night,,,0.0,0.0,,,Clear,32.38,1420300800,0.0,6.216,90.0,,3.36
22.53,0.0,24.82,0.85,clear-night,,,0.0,0.0,,,Clear,28.77,1420304400,0.0,4.974,330.0,,5.82
26.98,0.35,23.02,0.85,partly-cloudy-night,,,0.0,0.0,,1030.01,Partly Cloudy,26.98,1420308000,0.0,3.73,320.0,,2.24
23.12,,23.02,0.85,clear-night,,,0.0,0.0,,,Clear,26.98,1420311600,0.0,3.108,320.0,,3.36
19.0,0.19,19.4,0.85,partly-cloudy-night,,,0.0,0.0,,,Partly Cloudy,23.38,1420315200,0.0,2.7960000000000003,311.0,,3.36
23.85,0.5,21.41,0.9,partly-cloudy-night,,,0.0,0.0,,1028.11,Mostly Cloudy,23.85,1420318800,0.0,2.175,330.0,,2.24
21.06,0.75,21.21,0.85,partly-cloudy-night,,,0.0,0.0,,,Mostly Cloudy,25.18,1420322400,0.0,3.108,330.0,,3.36
18.27,1.0,21.21,0.85,cloudy,,,0.0,0.0,,,Overcast,25.18,1420326000,0.0,4.974,330.0,,5.82
26.98,1.0,23.15,0.85,cloudy,,,0.0,0.0,,1025.22,Overcast,26.98,1420329600,0.0,4.974,330.0,,2.24
26.98,0.75,23.02,0.85,partly-cloudy-night,,,0.0,0.0,,,Mostly Cloudy,26.98,1420333200,0.0,4.974,11.0,,1.11
21.51,0.75,24.82,0.91,partly-cloudy-night,,,0.0,0.0,,,Mostly Cloudy,26.98,1420336800,0.0,4.974,330.0,,4.69
29.81,0.88,26.62,0.88,cloudy,,,0.0,0.0,,1022.22,Overcast,29.81,1420340400,0.0,3.73,311.0,,2.24
24.63,0.75,28.41,0.85,partly-cloudy-night,,,0.0,0.0,,,Mostly Cloudy,32.38,1420344000,0.0,4.974,290.0,,9.18
30.31,0.75,32.02,0.85,partly-cloudy-night,,,0.0,0.0,,,Mostly Cloudy,35.96,1420347600,0.0,6.216,210.0,,6.93
25.8,0.88,30.17,0.99,cloudy,,,0.0,0.0,,1018.99,Overcast,30.48,1420351200,0.0,6.216,300.0,,4.48
28.92,0.75,32.02,0.92,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,34.14,1420354800,0.0,6.216,330.0,,5.82
40.42,0.75,37.4,0.8,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,43.16,1420358400,1.0,6.216,240.0,,4.69
37.1,0.75,37.4,0.8,partly-cloudy-day,,,0.0,0.0,,1015.99,Mostly Cloudy,43.16,1420362000,1.0,6.216,140.0,,11.19
38.31,0.75,35.59,0.8,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,41.36,1420365600,1.0,6.216,120.0,,4.69
43.61,0.75,37.4,0.75,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,44.95,1420369200,2.0,6.216,300.0,,3.36
42.51,0.63,37.4,0.75,partly-cloudy-day,,,0.0,0.0,,1012.71,Mostly Cloudy,44.95,1420372800,1.0,6.216,132.0,,4.69
43.61,0.75,37.4,0.75,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,44.95,1420376400,1.0,6.216,341.0,,3.36
30.73,1.0,32.02,0.8,cloudy,,,0.0,0.0,,,Overcast,37.76,1420380000,0.0,6.216,311.0,,10.29
31.89,0.63,32.02,0.81,partly-cloudy-day,,,0.0,0.0,,1016.4,Mostly Cloudy,37.16,1420383600,0.0,6.216,330.0,,6.72
33.22,0.75,32.02,0.78,partly-cloudy-night,,,,,rain,,Mostly Cloudy,38.37,1420387200,0.0,6.216,330.0,,6.93
27.23,0.38,28.33,0.79,partly-cloudy-night,,,,,snow,,Partly Cloudy,34.2,1420394400,0.0,,345.0,,8.51
26.69,0.13,21.17,0.65,partly-cloudy-night,,,,,snow,,Partly Cloudy,31.57,1420405200,0.0,,344.0,,4.87
26.8,0.13,17.93,0.69,partly-cloudy-night,,,,,snow,,Partly Cloudy,26.8,1420416000,0.0,,341.0,,2.63
21.69,0.25,18.84,0.71,partly-cloudy-night,,,,,snow,,Partly Cloudy,27.14,1420426800,0.0,,0.0,,4.69
16.9,0.18,17.55,0.77,partly-cloudy-night,,,,,snow,,Partly Cloudy,23.77,1420437600,0.0,,351.0,,5.49
20.5,0.28,17.93,0.66,partly-cloudy-day,,,,,snow,,Partly Cloudy,27.98,1420448400,1.0,,346.0,,7.2
22.94,0.44,12.19,0.43,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,32.38,1420455600,2.0,6.216,0.0,,12.76
23.61,0.46,13.69,0.46,partly-cloudy-day,,,0.0,0.0,,1020.91,Partly Cloudy,32.42,1420459200,1.0,6.216,0.0,,11.32
24.06,0.44,10.41,0.39,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,32.38,1420462800,1.0,6.216,350.0,,10.29
24.63,0.44,12.19,0.43,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,32.38,1420466400,0.0,6.216,11.0,,9.18
22.38,0.41,10.14,0.42,partly-cloudy-day,,,0.0,0.0,,1021.92,Partly Cloudy,30.52,1420470000,0.0,6.216,5.0,,9.1
23.11,0.44,10.41,0.41,partly-cloudy-night,,,,,snow,,Partly Cloudy,31.15,1420473600,0.0,6.216,11.0,,9.18
15.81,0.4,15.6,0.64,partly-cloudy-night,,,,,snow,,Partly Cloudy,25.98,1420480800,0.0,,358.0,,10.82
16.5,0.13,15.5,0.75,partly-cloudy-night,,,,,snow,,Partly Cloudy,22.18,1420491600,0.0,,6.0,,4.18
13.93,0.38,12.86,0.77,partly-cloudy-night,,,,,snow,,Partly Cloudy,18.78,1420502400,0.0,,352.0,,3.25
19.72,0.38,13.18,0.75,partly-cloudy-night,,,,,snow,,Partly Cloudy,19.72,1420513200,0.0,,341.0,,2.63
13.47,0.75,11.3,0.69,partly-cloudy-night,,,,,snow,,Mostly Cloudy,19.9,1420524000,0.0,,0.0,,4.48
11.32,0.44,14.0,0.72,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,21.57,1420527600,0.0,6.216,341.0,,9.18
21.65,0.75,17.61,0.63,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,28.77,1420531200,1.0,6.216,341.0,,6.93
18.53,0.7,15.83,0.65,partly-cloudy-day,,,0.0,0.0,,1021.12,Mostly Cloudy,26.0,1420534800,1.0,6.216,335.0,,6.66
27.17,0.75,15.83,0.54,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,30.54,1420538400,1.0,6.216,311.0,,3.36
22.36,0.75,15.83,0.54,partly-cloudy-day,,,0.0,0.0,,,Mostly Cloudy,30.54,1420542000,2.0,6.216,300.0,,9.18
20.11,0.66,8.64,0.39,partly-cloudy-day,,,0.0,0.0,,1020.78,Mostly Cloudy,30.46,1420545600,1.0,6.216,0.0,,13.72
21.76,0.44,6.78,0.36,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,30.54,1420549200,1.0,6.216,350.0,,10.29
25.66,0.44,6.78,0.36,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,30.54,1420552800,0.0,6.216,320.0,,4.69
20.33,0.44,6.78,0.39,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,28.89,1420556400,0.0,6.216,0.0,,9.18
23.11,0.44,6.78,0.35,partly-cloudy-night,,,,,snow,,Partly Cloudy,31.15,1420560000,0.0,6.216,11.0,,9.18
17.68,0.25,15.07,0.7,partly-cloudy-night,,,,,snow,,Partly Cloudy,23.51,1420567200,0.0,,341.0,,4.48
17.5,0.49,14.88,0.69,partly-cloudy-night,,,,,snow,,Partly Cloudy,23.44,1420578000,0.0,,13.0,,4.57
21.02,0.38,14.47,0.75,partly-cloudy-night,,,,,snow,,Partly Cloudy,21.02,1420588800,0.0,,290.0,,2.63
12.02,0.13,11.95,0.77,partly-cloudy-night,,,,,snow,,Partly Cloudy,18.04,1420599600,0.0,,320.0,,3.95
6.57,,8.74,0.79,clear-night,,,,,snow,,Clear,13.97,1420610400,0.0,,,,4.48
-2.8,0.44,-0.38,0.6,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,10.77,1420614000,0.0,6.216,20.0,,10.29
1.66,0.44,5.03,0.66,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,14.36,1420617600,1.0,6.216,330.0,,10.29
13.91,0.38,6.59,0.55,partly-cloudy-day,,,0.0,0.0,,1034.12,Partly Cloudy,20.27,1420621200,1.0,6.216,330.0,,4.48
21.06,0.44,10.41,0.53,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,25.18,1420624800,2.0,6.216,300.0,,3.36
30.54,0.44,10.41,0.42,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,30.54,1420628400,2.0,6.216,300.0,,2.24
29.67,0.41,6.53,0.37,partly-cloudy-day,,,0.0,0.0,,1032.7,Partly Cloudy,29.67,1420632000,1.0,6.216,318.0,,2.48
24.63,,6.78,0.36,clear-day,,,0.0,0.0,,,Clear,30.54,1420635600,,6.216,290.0,,5.82
27.17,,5.03,0.33,clear-day,,,0.0,0.0,,,Clear,30.54,1420639200,,6.216,300.0,,3.36
27.65,0.43,-0.38,0.29,partly-cloudy-day,,,0.0,0.0,,1034.18,Partly Cloudy,27.65,1420642800,0.0,6.216,300.0,,2.24
27.6,,-0.38,0.29,clear-night,,,,,snow,,Clear,27.6,1420646400,0.0,6.216,300.0,,2.24
20.12,0.25,5.91,0.53,partly-cloudy-night,,,,,snow,,Partly Cloudy,20.12,1420653600,0.0,,,,2.24
19.31,0.25,5.74,0.55,partly-cloudy-night,,,,,snow,,Partly Cloudy,19.31,1420664400,0.0,,341.0,,2.63
18.84,0.25,12.58,0.76,partly-cloudy-night,,,,,snow,,Partly Cloudy,18.84,1420675200,0.0,,,,0.0
15.96,,12.09,0.84,clear-night,,,,,snow,,Clear,15.96,1420686000,0.0,,320.0,,2.63
15.05,,4.5,0.62,clear-night,,,,,snow,,Clear,15.05,1420696800,0.0,,,,2.24
1.14,0.44,-0.38,0.6,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,10.77,1420700400,0.0,6.216,290.0,,5.82
7.59,0.44,5.03,0.61,partly-cloudy-day,,,0.0,0.0,,,Partly Cloudy,16.19,1420704000,1.0,6.216,330.0,,5.82
21.28,0.46,4.71,0.48,partly-cloudy-day,,,0.0,0.0,,1040.89,Partly Cloudy,21.28,1420707600,1.0,6.216,330.0,,2.54
23.12,,6.78,0.42,clear-day,,,0.0,0.0,,,Clear,26.98,1420711200,,6.216,300.0,,3.36
30.54,,5.03,0.33,clear-day,,,0.0,0.0,,,Clear,30.54,1420714800,,6.216,300.0,,2.24
